ID,Parent,Type,Name,Path,Module,Docstring,Params,ReturnType
1,,module,data_loader,timesfm.data_loader,timesfm.data_loader,TF dataloaders for general timeseries datasets.\n\nThe expected input format is csv file with a datetime index.,,
15,,module,time_features,timesfm.time_features,timesfm.time_features,Directory to extract time covariates.\n\nExtract time covariates from datetime.,,
34,,module,timesfm,timesfm,timesfm,TimesFM init file.,,
36,,module,pytorch_patched_decoder,timesfm.pytorch_patched_decoder,timesfm.pytorch_patched_decoder,Pytorch version of patched decoder.,,
82,,module,timesfm_jax,timesfm.timesfm_jax,timesfm.timesfm_jax,TimesFM JAX forecast API for inference.,,
102,,module,xreg_lib,timesfm.xreg_lib,timesfm.xreg_lib,Helper functions for in-context covariates and regression.,,
120,,module,patched_decoder,timesfm.patched_decoder,timesfm.patched_decoder,"Pax ML model for patched time-series decoder.\n\nThe file implements Residual MLPs, Patched Decoder layers and PAX ML models.",,
148,,module,timesfm_torch,timesfm.timesfm_torch,timesfm.timesfm_torch,TimesFM pytorch forecast API for inference.,,
159,,module,timesfm_base,timesfm.timesfm_base,timesfm.timesfm_base,Base class for TimesFM inference. This will be common to PAX and Pytorch.,,
