package,package_version,module,name,qualname,kind,signature,origin_module,reexported,file,line,doc,exported_via_all
json,,json,dump,json.dump,function,"(obj, fp, *, skipkeys=False, ensure_ascii=True, check_circular=True, allow_nan=True, cls=None, indent=None, separators=None, default=None, sort_keys=False, **kw)",json,False,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\__init__.py,120,Serialize ``obj`` as a JSON formatted stream to ``fp`` (a,true
json,,json,dumps,json.dumps,function,"(obj, *, skipkeys=False, ensure_ascii=True, check_circular=True, allow_nan=True, cls=None, indent=None, separators=None, default=None, sort_keys=False, **kw)",json,False,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\__init__.py,183,Serialize ``obj`` to a JSON formatted ``str``.,true
json,,json,load,json.load,function,"(fp, *, cls=None, object_hook=None, parse_float=None, parse_int=None, parse_constant=None, object_pairs_hook=None, **kw)",json,False,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\__init__.py,274,Deserialize ``fp`` (a ``.read()``-supporting file-like object containing,true
json,,json,loads,json.loads,function,"(s, *, cls=None, object_hook=None, parse_float=None, parse_int=None, parse_constant=None, object_pairs_hook=None, **kw)",json,False,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\__init__.py,299,"Deserialize ``s`` (a ``str``, ``bytes`` or ``bytearray`` instance",true
json,,json,JSONDecoder,json.JSONDecoder,class,"(*, object_hook=None, parse_float=None, parse_int=None, parse_constant=None, strict=True, object_pairs_hook=None)",json.decoder,True,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\decoder.py,254,Simple JSON <https://json.org> decoder,true
json,,json,JSONDecodeError,json.JSONDecodeError,class,"(msg, doc, pos)",json.decoder,True,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\decoder.py,20,Subclass of ValueError with the following additional properties:,true
json,,json,JSONEncoder,json.JSONEncoder,class,"(*, skipkeys=False, ensure_ascii=True, check_circular=True, allow_nan=True, sort_keys=False, indent=None, separators=None, default=None)",json.encoder,True,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\json\encoder.py,74,Extensible JSON <https://json.org> encoder for Python data structures.,true
